lat,long,diameter
197,26,16.23454913941803
195,722,9.83698151873187
200,3567,16.273715780512877
199,376,9.09728368293446
199,1200,7.136496464611085
199,1331,5.292567428401227
202,3810,6.955796338302048
219,1410,34.79728160421644
202,1728,4.652426491681278
208,3072,19.47884453275087
204,112,8.593479713983122
216,680,20.342144725641095
219,2609,23.74963406702674
222,183,30.003005818213616
218,1874,15.180789096653193
230,841,38.014824519842385
219,1480,6.955796338302048
223,3055,12.205286835384658
226,738,17.58969042850512
222,1509,8.95623198216277
224,757,7.136496464611085
229,3509,11.451797811161432
224,957,4.51351666838205
226,1891,6.955796338302048
228,644,10.940041919714261
235,2944,14.841510746523857
240,1088,25.13019725725687
238,1264,24.279825147895533
231,1365,4.068428945128219
238,78,12.100518486599809
237,3150,10.464157913908982
241,2490,11.227230955528665
245,812,9.440697438826296
252,2590,18.403307281560924
246,3113,4.370193722368317
248,625,4.652426491681278
262,1796,26.486883341553696
255,2750,13.540550005146152
256,2776,11.451797811161432
257,502,12.309163489997376
259,701,17.334489682638438
259,2764,4.652426491681278
260,1931,9.901487006738307
264,1962,13.540550005146152
260,3068,7.569397566060481
266,63,9.772050238058398
274,1696,17.075475271404667
275,3574,12.309163489997376
278,279,8.667244841319219
277,439,5.292567428401227
282,42,11.11324596323283
280,2917,7.653039857325812
285,1804,14.668929172241665
280,2354,5.292567428401227
296,2389,35.77157729900708
291,1416,9.507891862878783
284,1421,5.292567428401227
310,574,45.261931327318294
283,911,5.170882945826411
286,1221,5.170882945826411
290,1402,8.812923024107548
290,1423,5.527906391541368
289,2625,4.51351666838205
297,3122,22.22649192646566
292,2850,10.092530088080641
291,1940,4.918490759365935
295,3671,10.998079684646791
295,227,4.51351666838205
305,1484,15.594510349620345
307,1673,12.309163489997376
304,3389,6.282549314314218
306,2340,7.48482063701911
310,865,8.136857890256438
309,1311,7.48482063701911
311,848,8.95623198216277
310,889,4.787307364817192
315,1803,11.283791670955125
319,2979,16.73656774376801
317,2097,10.704744696916627
316,1492,6.955796338302048
328,3033,12.914889870235298
333,2122,14.581872443920643
330,2800,11.780624362746345
327,3504,7.399277020331919
328,1347,6.383076486422923
331,273,6.863662517577698
334,395,9.640875829802336
336,3220,14.048207338801282
332,441,4.51351666838205
341,460,10.02925341359355
348,2213,28.701672171559103
344,3365,7.312732791431452
343,1897,4.918490759365935
352,2623,16.39065416446578
350,2941,11.055812783082736
347,59,4.068428945128219
357,3087,10.280023453913834
360,2373,14.228319915326999
369,3465,26.678472698169138
358,3713,5.641895835477563
362,180,9.83698151873187
361,2993,4.068428945128219
371,362,23.936536824085962
367,1420,12.514330345744634
365,1626,9.09728368293446
374,3202,30.943111311580196
368,553,13.398760233979036
368,1079,10.464157913908982
373,789,16.96325844612841
367,2605,5.292567428401227
374,2075,18.01877032173579
371,1107,8.136857890256438
372,57,6.282549314314218
375,91,11.726460285670077
375,1870,11.11324596323283
375,2417,8.667244841319219
380,125,10.217907939900583
385,1338,9.772050238058398
397,1955,36.19618062078487
388,2626,16.545286401814263
382,3527,6.4820448144285745
386,3389,7.225151993843567
387,3433,11.888212206450685
391,2675,13.207339536360731
390,180,9.83698151873187
390,2033,7.399277020331919
395,2401,18.81384047546846
389,3066,6.282549314314218
409,1650,42.61032258493641
397,782,11.227230955528665
398,2354,15.553633450087505
415,396,50.39953265404997
394,1052,4.370193722368317
397,3239,9.440697438826296
397,21,6.770275002573076
401,310,7.653039857325812
412,2268,30.424416987387996
